util_tier,pay_segment,variant,accepted,revenue,monthly_spend,default_flag,fraud_flag,limit_offered,exp_day
Low (<30%),On-time,control,0,0.0,9844.74,0,0,0.0,2
Low (<30%),On-time,control,1,62.3,14359.98,0,0,25946.49,9
Low (<30%),On-time,control,0,0.0,9611.99,1,0,0.0,12
Low (<30%),On-time,control,0,0.0,8844.21,1,0,0.0,13
Low (<30%),On-time,control,0,0.0,18793.95,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,12458.21,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,24396.82,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,10704.81,1,0,0.0,8
Low (<30%),On-time,control,0,0.0,11260.69,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,10060.83,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,7627.91,0,0,0.0,12
Low (<30%),On-time,control,1,134.03,20067.82,1,0,18167.91,10
Low (<30%),On-time,control,0,0.0,39835.6,0,0,0.0,8
Low (<30%),On-time,control,0,0.0,11031.9,0,0,0.0,3
Low (<30%),On-time,control,0,0.0,9503.47,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,9200.37,0,0,0.0,9
Low (<30%),On-time,control,0,0.0,9507.1,0,0,0.0,3
Low (<30%),On-time,control,0,0.0,30471.66,1,0,0.0,8
Low (<30%),On-time,control,0,0.0,9324.68,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,9966.92,1,0,0.0,3
Low (<30%),On-time,control,0,0.0,7183.08,0,0,0.0,1
Low (<30%),On-time,control,0,0.0,15467.32,0,0,0.0,14
Low (<30%),On-time,control,0,0.0,12913.72,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,7563.36,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,8546.23,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,28742.35,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,13575.39,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,14051.76,0,0,0.0,1
Low (<30%),On-time,control,0,0.0,14079.67,0,0,0.0,3
Low (<30%),On-time,control,0,0.0,26821.87,0,0,0.0,9
Low (<30%),On-time,control,0,0.0,7919.26,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,10954.03,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,12273.25,0,0,0.0,4
Low (<30%),On-time,control,1,44.45,5648.09,0,0,30386.93,1
Low (<30%),On-time,control,1,153.43,8447.19,0,0,32078.91,14
Low (<30%),On-time,control,0,0.0,22538.9,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,19531.17,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,21336.91,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,9947.88,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,10580.97,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,5462.31,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,21282.23,0,0,0.0,1
Low (<30%),On-time,control,0,0.0,23109.21,1,0,0.0,2
Low (<30%),On-time,control,0,0.0,22962.57,0,0,0.0,13
Low (<30%),On-time,control,0,0.0,29783.39,0,0,0.0,10
Low (<30%),On-time,control,0,0.0,16493.38,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,29088.59,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,12081.41,0,0,0.0,5
Low (<30%),On-time,control,0,0.0,5520.12,0,0,0.0,12
Low (<30%),On-time,control,0,0.0,20537.81,0,0,0.0,12
Low (<30%),On-time,control,1,86.21,5419.27,0,0,20240.15,6
Low (<30%),On-time,control,0,0.0,14541.49,0,0,0.0,14
Low (<30%),On-time,control,1,182.69,21532.58,0,0,54750.84,10
Low (<30%),On-time,control,0,0.0,15705.87,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,41721.92,0,0,0.0,9
Low (<30%),On-time,control,1,42.58,4997.51,0,0,21406.24,7
Low (<30%),On-time,control,0,0.0,12813.19,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,13472.26,0,0,0.0,6
Low (<30%),On-time,control,0,0.0,6819.96,0,0,0.0,9
Low (<30%),On-time,control,0,0.0,7501.02,0,0,0.0,7
Low (<30%),On-time,control,0,0.0,8752.51,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,7706.63,0,0,0.0,3
Low (<30%),On-time,control,0,0.0,12653.17,0,0,0.0,8
Low (<30%),On-time,control,0,0.0,9879.11,0,0,0.0,11
Low (<30%),On-time,control,0,0.0,15656.08,0,0,0.0,9
Low (<30%),On-time,control,0,0.0,18478.73,0,0,0.0,4
Low (<30%),On-time,control,0,0.0,17864.13,0,0,0.0,9
Low (<30%),On-time,control,0,0.0,10879.08,0,0,0.0,2
Low (<30%),On-time,control,0,0.0,15396.54,0,0,0.0,13
